family,model,n,metric,mean_percent,std_percent,ci95_halfwidth_pp,ci95_lower_percent,ci95_upper_percent
YOLO,YOLOv8x,892,IoU,71.57417869508372,31.53522510786339,2.069519770412418,69.5046589246713,73.64369846549614
YOLO,YOLOv8x,892,Dice/F1,77.74813477926634,31.296790021917083,2.0538723119706885,75.69426246729564,79.80200709123702
YOLO,YOLOv8x,892,Precision,84.47017859762558,27.338676665780582,1.7941185345348207,82.67606006309076,86.2642971321604
YOLO,YOLOv8x,892,Recall,77.01310200959783,33.267533922770006,2.18320366924766,74.82989834035017,79.19630567884549
YOLO,YOLOv8x,892,Boundary IoU,39.36802083493245,20.44999215850781,1.342044108835545,38.02597672609691,40.710064943767996
YOLO,YOLOv8x,892,Boundary F1,59.09662553097421,27.068652802093958,1.7763980418961534,57.32022748907806,60.873023572870366
YOLO,YOLOv8x,892,Pixel accuracy,82.19279911056358,27.41091403721414,1.7988591592753462,80.39393995128825,83.99165826983894
YOLO,YOLOv11n,892,IoU,87.18641136097376,12.558930800607671,0.8241880468016103,86.36222331417216,88.01059940777537
YOLO,YOLOv11n,892,Dice/F1,92.50769038079429,9.932953272545333,0.6518565542438285,91.85583382655047,93.15954693503811
YOLO,YOLOv11n,892,Precision,91.6924937882468,10.723371960032312,0.7037282975106888,90.98876549073611,92.39622208575749
YOLO,YOLOv11n,892,Recall,94.04583816289677,10.093146447278706,0.6623693360952946,93.38346882680149,94.70820749899207
YOLO,YOLOv11n,892,Boundary IoU,41.058773483757335,15.194299190377553,0.997135820800178,40.06163766295715,42.05590930455751
YOLO,YOLOv11n,892,Boundary F1,62.25193642688157,19.096999536159668,1.2532530831937643,60.99868334368781,63.50518951007533
YOLO,YOLOv11n,892,Pixel accuracy,95.10387663560948,6.791921023733531,0.44572425881277083,94.6581523767967,95.54960089442226
YOLO,YOLOv11s,892,IoU,87.87718684747013,13.692542358660308,0.8985820466330233,86.97860480083712,88.77576889410315
YOLO,YOLOv11s,892,Dice/F1,92.77118592967656,10.903156112393706,0.715526750080668,92.05565917959589,93.48671267975722
YOLO,YOLOv11s,892,Precision,92.62296101899346,10.105894324801836,0.6632059238943249,91.95975509509914,93.28616694288779
YOLO,YOLOv11s,892,Recall,94.00493194201287,11.827584296961021,0.7761929542299917,93.22873898778288,94.78112489624286
YOLO,YOLOv11s,892,Boundary IoU,45.35965967768907,16.31813086010056,1.0708880090643238,44.28877166862475,46.4305476867534
YOLO,YOLOv11s,892,Boundary F1,67.18292174088761,19.77591694660096,1.297807482237363,65.88511425865023,68.48072922312497
YOLO,YOLOv11s,892,Pixel accuracy,95.0481381266409,8.7070006448335,0.5714026113288609,94.47673551531203,95.61954073796976
YOLO,YOLOv11m,892,IoU,88.77930921019035,12.997155180068724,0.8529468082840269,87.92636240190632,89.63225601847438
YOLO,YOLOv11m,892,Dice/F1,93.36259555211285,10.333267365530455,0.6781274283845317,92.68446812372831,94.04072298049738
YOLO,YOLOv11m,892,Precision,93.11642446071997,10.035021537672403,0.6585548508911385,92.45786960982883,93.7749793116111
YOLO,YOLOv11m,892,Recall,94.51982910108939,10.8077101158078,0.7092630441370565,93.81056605695233,95.22909214522643
YOLO,YOLOv11m,892,Boundary IoU,47.96023211498151,16.948743067360024,1.1122723475595468,46.84795976742196,49.07250446254105
YOLO,YOLOv11m,892,Boundary F1,70.02097496323077,19.97463506454087,1.3108484886804483,68.71012647455032,71.33182345191122
YOLO,YOLOv11m,892,Pixel accuracy,95.48879224834762,8.1229654838459,0.5330749219546552,94.95571732639296,96.02186717030227
YOLO,YOLOv11l,892,IoU,88.30416195081825,14.38581792812617,0.9440787092522406,87.36008324156602,89.2482406600705
YOLO,YOLOv11l,892,Dice/F1,92.87542891718651,12.265232825724945,0.8049139251338273,92.07051499205268,93.68034284232034
YOLO,YOLOv11l,892,Precision,92.87264574110388,11.265838907942655,0.739328045717839,92.13331769538605,93.61197378682172
