image,instances,method,iou,dice_f1,precision,recall,boundary_iou,boundary_f1,pixel_accuracy
0-13-35_png_jpg.rf.ffde371a4fadbfcfc0941b00ff1b9072.jpg,3,OR,0.9094540345743269,0.9525801806243226,0.9214886728104519,0.9858430382493184,0.1795698690428179,0.3271050759179766,0.9117285156247774
0-13-35_png_jpg.rf.ffde371a4fadbfcfc0941b00ff1b9072.jpg,3,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.10065917968747543
0-13-35_png_jpg.rf.ffde371a4fadbfcfc0941b00ff1b9072.jpg,3,weighted_mean,0.9094540345743269,0.9525801806243226,0.9214886728104519,0.9858430382493184,0.1795698690428179,0.3271050759179766,0.9117285156247774
0-13-37_png_jpg.rf.2a6ff5e784b4116463b0899ce9d073fb.jpg,1,OR,0.9448259148555657,0.9716303219105696,0.9882630037730051,0.9555482367115867,0.19921263577242515,0.3319306040557643,0.9466406249997689
0-13-37_png_jpg.rf.2a6ff5e784b4116463b0899ce9d073fb.jpg,1,AND,0.9448259148555657,0.9716303219105696,0.9882630037730051,0.9555482367115867,0.19921263577242515,0.3319306040557643,0.9466406249997689
0-13-37_png_jpg.rf.2a6ff5e784b4116463b0899ce9d073fb.jpg,1,weighted_mean,0.9448259148555657,0.9716303219105696,0.9882630037730051,0.9555482367115867,0.19921263577242515,0.3319306040557643,0.9466406249997689
0-13-37_png_jpg.rf.2c1691489ec339f8749b615a18276008.jpg,1,OR,0.960301084243062,0.9797485620571051,0.9853096652778991,0.9742498804353518,0.25192972138437125,0.4252848192216995,0.962375488281015
0-13-37_png_jpg.rf.2c1691489ec339f8749b615a18276008.jpg,1,AND,0.960301084243062,0.9797485620571051,0.9853096652778991,0.9742498804353518,0.25192972138437125,0.4252848192216995,0.962375488281015
0-13-37_png_jpg.rf.2c1691489ec339f8749b615a18276008.jpg,1,weighted_mean,0.960301084243062,0.9797485620571051,0.9853096652778991,0.9742498804353518,0.25192972138437125,0.4252848192216995,0.962375488281015
0-13-54_png_jpg.rf.12c375a1b250a5788d73edb8510c0e8c.jpg,1,OR,0.8444378502437345,0.915658773899208,0.9109417713627538,0.9204248815000456,0.09766587331392194,0.18025519455320915,0.8553735351560412
