model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_09.png,0.0,0.0,0.0,0.0,0.15800094604492188,0.022925299999769777
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_11.png,0.0,0.0,0.0,0.0,0.24077987670898438,0.023230699996929616
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_12.png,0.0,0.0,0.0,0.0,0.29520416259765625,0.024186800001189113
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_13.png,0.0,0.0,0.0,0.0,0.1963348388671875,0.02347740001277998
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_14.png,0.0,0.0,0.0,0.0,0.3779945373535156,0.023125799983972684
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_15.png,0.0,0.0,0.0,0.0,0.5633964538574219,0.023036899976432323
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_01.png,0.0,0.0,0.0,0.0,0.0770263671875,0.023965499975020066
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_09.png,0.0,0.0,0.0,0.0,0.4984779357910156,0.02345400000922382
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_10.png,0.0,0.0,0.0,0.0,0.5098724365234375,0.025101700011873618
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_14.png,0.0,0.0,0.0,0.0,0.2684593200683594,0.022244199994020164
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_01.png,0.0,0.0,0.0,0.0,0.22026443481445312,0.023031199991237372
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_02.png,0.0,0.0,0.0,0.0,0.36429595947265625,0.023331699980190024
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_03.png,0.0,0.0,0.0,0.0,0.9452667236328125,0.022389099991414696
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_07.png,0.0,0.0,0.0,0.0,0.7738838195800781,0.022195400000782683
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_08.png,0.0,0.0,0.0,0.0,0.4558258056640625,0.022577499999897555
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_09.png,0.0,0.0,0.0,0.0,0.16601943969726562,0.021378499979618937
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_10.png,0.0,0.0,0.0,0.0,0.04801177978515625,0.02246979999472387
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_12.png,0.0,0.0,0.0,0.0,0.4818115234375,0.022872500005178154
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_13.png,0.0,0.0,0.0,0.0,0.6373748779296875,0.02275890001328662
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_15.png,0.0,0.0,0.0,0.0,0.4093513488769531,0.0223485000024084
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_16.png,0.0,0.0,0.0,0.0,0.6817550659179688,0.022732699988409877
