model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_05.png,0.0,0.0,0.0,0.0,0.9417266845703125,0.012318899971432984
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_07.png,0.0009423491717797834,0.0018829239717142977,0.5113636363636364,0.0009431984908824146,0.27203369140625,0.011989799997536466
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_10.png,0.0,0.0,0.0,0.0,0.4597320556640625,0.012175399984698743
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_11.png,0.0001325381047051027,0.00026504108136761196,1.0,0.0001325381047051027,0.1942138671875,0.012177099997643381
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_14.png,0.0,0.0,0.0,0.0,0.66156005859375,0.012243800010764971
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_17.png,0.0,0.0,0.0,0.0,0.249298095703125,0.012460500001907349
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_18.png,0.00021337710299548624,0.00042666316584069055,1.0,0.00021337710299548624,0.070556640625,0.012676000013016164
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_01.png,0.0,0.0,0.0,0.0,0.132110595703125,0.01224240000010468
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_02.png,0.0,0.0,0.0,0.0,0.8369903564453125,0.012316799984546378
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_05.png,0.0,0.0,0.0,0.0,0.9073486328125,0.012213199981488287
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_07.png,0.0013407321887452981,0.0026778740655335294,0.11285266457680251,0.0013550135501355014,0.5908355712890625,0.012258300004759803
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_11.png,0.0021233156390363414,0.004237633444707033,0.8666666666666667,0.0021240094763499712,0.4406585693359375,0.012611000012839213
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_14.png,0.0,0.0,0.0,0.0,0.1894073486328125,0.013075800001388416
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_12_15.png,0.0,0.0,0.0,0.0,0.4183502197265625,0.012859600014053285
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_02.png,0.0,0.0,0.0,0.0,0.815032958984375,0.012747600005241111
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_05.png,0.0,0.0,0.0,0.0,0.9241790771484375,0.012540800002170727
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_06.png,0.0,0.0,0.0,0.0,0.581695556640625,0.012423100008163601
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_07.png,0.0005903381325637073,0.0011799796781277656,0.13432835820895522,0.0005925925925925926,0.5350189208984375,0.012368800002150238
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_08.png,0.0,0.0,0.0,0.0,0.623626708984375,0.012346699979389086
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_10.png,0.0,0.0,0.0,0.0,0.8110809326171875,0.012902899994514883
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_13.png,0.0002880184331797235,0.0005758710048949035,1.0,0.0002880184331797235,0.36444091796875,0.012641500012250617
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_14.png,0.0009783596170420928,0.0019548067301203135,0.22826086956521738,0.0009816065627410195,0.3455963134765625,0.012498399999458343
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_13_16.png,0.0,0.0,0.0,0.0,0.24786376953125,0.012354000005871058
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_14_01.png,0.0,0.0,0.0,0.0,0.36236572265625,0.012436200020601973
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_14_08.png,0.0,0.0,0.0,0.0,0.9358673095703125,0.012473900016630068
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_14_11.png,0.0,0.0,0.0,0.0,0.7050933837890625,0.012727599998470396
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_15_02.png,0.00011200089600716806,0.00022397670642253207,0.013888888888888888,0.00011289867344058707,0.7275543212890625,0.01385449999361299
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_15_03.png,0.0,0.0,0.0,0.0,0.96685791015625,0.012356399995042011
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_15_13.png,0.0,0.0,0.0,0.0,0.2025299072265625,0.012531599990325049
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_17_01.png,4.991140725212747e-05,9.981783245576823e-05,0.4,4.99151442547669e-05,0.3885955810546875,0.012371899996651337
U-Net,train_S2A_MSIL2A_20200115T140641_N0213_R110_T21LUH_20200115T163049_01_09.png,0.0,0.0,0.0,0.0,0.779052734375,0.012563099997350946
